"","Name","Genre 1","Genre 2","Genre 3","All_Time_Peak","positive_ratings","negative_ratings"
"1","Counter-Strike: Global Offensive","Action","Free to Play",NA,1320219,2644404,402313
"2","Dota 2","Action","Free to Play","Strategy",1295114,863507,142079
"3","Terraria","Action","Adventure","Indie",489886,255600,7797
"4","Fallout 4","RPG",NA,NA,472962,110376,45377
"5","Life is Strange 2","Adventure",NA,NA,468717,4749,950
"6","Among Us","Casual",NA,NA,447476,60,11
"7","POSTAL","Action","Indie",NA,412063,2319,502
"8","World of Warships","Action","Free to Play","Massively Multiplayer",411338,9386,3667
"9","Grand Theft Auto V","Action","Adventure",NA,364548,329061,139308
"10","HITMAN™ 2","Action",NA,NA,361001,10814,1756
"11","Kathy Rain","Adventure","Indie",NA,348015,1188,86
"12","Counter-Strike","Action",NA,NA,319586,124534,3339
"13","The Elder Scrolls V: Skyrim","RPG",NA,NA,287411,237303,14951
"14","ARK: Survival Evolved","Action","Adventure","Indie",248405,145035,66603
"15","PAYDAY 2","Action","RPG",NA,247709,308657,56523
"16","Rust","Action","Adventure","Indie",245243,220370,53709
"17","Envoy 2","Adventure","Indie","Simulation",244375,60,78
"18","Braveland","Adventure","Casual","Indie",218169,1517,319
"19","No Man's Sky","Action","Adventure",NA,212613,63444,56488
"20","A Story About My Uncle","Adventure","Casual","Indie",190590,17924,1642
"21","Warframe","Action","Free to Play",NA,189837,226541,20268
"22","Hyperdrive Massacre","Action","Casual","Indie",181308,106,88
"23","Evolvation","Action","Casual","Indie",172870,558,213
"24","Team Fortress 2","Action","Free to Play",NA,167951,515879,34036
"25","DISTRAINT: Deluxe Edition","Adventure","Casual","Indie",165266,6830,451
"26","The Tiny Bang Story","Adventure","Casual","Indie",164840,3923,567
"27","Company of Heroes 2","Strategy",NA,NA,164688,32548,12038
"28","Left 4 Dead 2","Action",NA,NA,162399,251789,8418
"29","Path of Exile","Action","Adventure","Free to Play",158882,71593,6117
"30","Z1 Battle Royale","Action","Adventure","Free to Play",151239,111434,91664
"31","Murderous Pursuits","Action","Indie","Simulation",149224,1344,856
"32","BROKE PROTOCOL: Online City RPG","Action","Casual","Indie",147854,919,534
"33","Wallpaper Engine","Animation & Modeling","Design & Illustration","Utilities",147019,63623,1947
"34","Layers of Fear","Adventure","Indie",NA,145384,14551,1682
"35","Crusader Kings II","RPG","Simulation","Strategy",141439,31668,4187
"36","Fortified","Action","Indie","Strategy",138627,986,310
